Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.503,0.429,0.175,0.817,0.274,0.168,0.316,13
F,0.629,0.463,0.184,1.23,0.597,0.299,0.359,7
M,0.361,0.243,0.063,0.178,0.071,0.04,0.063,10
F,0.623,0.468,0.194,1.239,0.368,0.282,0.42,23
F,0.368,0.305,0.114,0.283,0.125,0.062,0.088,10
I,0.283,0.224,0.076,0.116,0.048,0.028,0.034,7
I,0.472,0.365,0.119,0.547,0.274,0.11,0.129,8
F,0.442,0.344,0.114,0.453,0.208,0.115,0.114,6
I,0.345,0.272,0.091,0.202,0.07,0.051,0.061,5
I,0.539,0.395,0.138,0.639,0.251,0.153,0.169,8
M,0.454,0.374,0.106,0.438,0.168,0.104,0.174,9
M,0.532,0.438,0.16,0.741,0.305,0.121,0.257,17
I,0.456,0.316,0.101,0.387,0.182,0.079,0.1,7
I,0.626,0.447,0.132,0.916,0.437,0.2,0.258,9
M,0.534,0.43,0.132,0.814,0.34,0.166,0.288,13
I,0.378,0.288,0.092,0.3,0.148,0.07,0.079,5
I,0.384,0.288,0.089,0.258,0.106,0.053,0.084,7
I,0.415,0.344,0.122,0.368,0.144,0.061,0.107,9
F,0.55,0.449,0.177,0.895,0.373,0.204,0.304,9
F,0.538,0.392,0.119,0.569,0.184,0.151,0.169,9
M,0.529,0.386,0.123,0.622,0.29,0.149,0.161,7
I,0.462,0.339,0.114,0.496,0.303,0.093,0.123,6
I,0.403,0.318,0.105,0.272,0.094,0.061,0.087,7
F,0.574,0.468,0.148,1.005,0.547,0.191,0.204,9
I,0.43,0.313,0.105,0.316,0.139,0.062,0.101,7
M,0.706,0.587,0.194,1.743,0.742,0.389,0.531,11
F,0.601,0.451,0.144,1.043,0.391,0.238,0.351,12
F,0.404,0.334,0.11,0.403,0.162,0.084,0.141,8
F,0.553,0.465,0.143,0.854,0.406,0.223,0.225,8
F,0.624,0.522,0.206,1.352,0.639,0.334,0.423,13
M,0.558,0.462,0.165,0.965,0.463,0.224,0.254,7
M,0.713,0.527,0.167,1.468,0.696,0.284,0.406,11
M,0.54,0.417,0.103,0.704,0.314,0.169,0.173,12
I,0.296,0.209,0.06,0.099,0.04,0.021,0.033,5
I,0.191,0.131,0.046,0.028,0.011,0.007,0.01,4
M,0.421,0.342,0.115,0.419,0.202,0.07,0.127,7
F,0.542,0.462,0.155,0.961,0.438,0.213,0.283,12
F,0.529,0.394,0.146,0.73,0.318,0.12,0.24,10
I,0.414,0.307,0.11,0.312,0.113,0.063,0.096,6
I,0.507,0.359,0.119,0.627,0.307,0.116,0.188,9
I,0.316,0.219,0.087,0.13,0.045,0.039,0.041,7
I,0.465,0.381,0.114,0.462,0.16,0.094,0.173,7
F,0.663,0.56,0.162,1.517,0.513,0.357,0.485,14
M,0.418,0.35,0.127,0.466,0.173,0.117,0.148,12
M,0.386,0.277,0.102,0.258,0.119,0.064,0.078,11
I,0.336,0.273,0.076,0.204,0.087,0.049,0.056,5
M,0.554,0.443,0.152,0.825,0.336,0.214,0.25,10
F,0.448,0.351,0.123,0.443,0.183,0.105,0.157,9
F,0.639,0.517,0.164,1.321,0.708,0.292,0.315,9
M,0.617,0.474,0.202,1.292,0.612,0.201,0.362,9
I,0.516,0.38,0.115,0.662,0.3,0.149,0.181,9
I,0.52,0.423,0.154,0.693,0.314,0.174,0.192,10
M,0.549,0.419,0.153,0.813,0.338,0.207,0.208,9
F,0.568,0.461,0.159,1.236,0.547,0.284,0.309,8
F,0.45,0.327,0.112,0.397,0.162,0.087,0.107,9
F,0.533,0.404,0.13,0.68,0.308,0.128,0.212,10
I,0.451,0.351,0.111,0.429,0.168,0.105,0.154,8
M,0.668,0.507,0.189,1.542,0.806,0.377,0.387,11
M,0.702,0.54,0.222,1.512,0.553,0.394,0.426,13
F,0.471,0.363,0.132,0.585,0.24,0.157,0.155,15
I,0.314,0.234,0.093,0.127,0.047,0.031,0.042,6
I,0.507,0.355,0.111,0.59,0.315,0.107,0.141,7
M,0.644,0.52,0.192,1.247,0.541,0.232,0.377,10
M,0.681,0.522,0.189,1.689,0.777,0.306,0.49,10
I,0.502,0.381,0.088,0.64,0.305,0.127,0.184,8
F,0.649,0.478,0.161,1.195,0.473,0.304,0.316,9
F,0.743,0.481,0.148,1.296,0.66,0.28,0.276,10
F,0.663,0.502,0.149,1.094,0.464,0.207,0.354,11
I,0.475,0.38,0.121,0.529,0.226,0.138,0.17,8
F,0.676,0.571,0.175,1.576,0.758,0.344,0.438,11
F,0.587,0.423,0.151,0.835,0.461,0.175,0.18,9
I,0.445,0.388,0.112,0.558,0.258,0.102,0.146,7
I,0.479,0.38,0.161,0.785,0.378,0.165,0.184,15
M,0.596,0.353,0.162,1.093,0.493,0.247,0.27,9
I,0.519,0.375,0.144,0.532,0.23,0.129,0.175,9
F,0.592,0.494,0.202,1.358,0.522,0.216,0.515,19
M,0.323,0.251,0.089,0.201,0.087,0.04,0.062,10
I,0.395,0.295,0.084,0.264,0.099,0.057,0.088,7
F,0.699,0.545,0.159,1.415,0.616,0.335,0.422,9
F,0.448,0.348,0.116,0.578,0.331,0.116,0.132,8
M,0.57,0.455,0.179,0.894,0.344,0.232,0.26,15
M,0.497,0.409,0.121,0.555,0.248,0.141,0.151,8
I,0.439,0.341,0.112,0.395,0.176,0.089,0.107,8
M,0.543,0.431,0.117,0.857,0.346,0.177,0.241,12
F,0.576,0.442,0.162,0.921,0.304,0.251,0.274,13
I,0.206,0.16,0.043,0.05,0.023,0.011,0.014,3
M,0.559,0.441,0.134,0.815,0.339,0.227,0.268,10
F,0.615,0.474,0.153,1.202,0.589,0.281,0.309,12
F,0.623,0.479,0.147,1.243,0.525,0.287,0.328,14
I,0.516,0.41,0.134,0.58,0.243,0.113,0.181,9
F,0.752,0.541,0.198,2.067,0.93,0.463,0.542,12
I,0.602,0.464,0.156,0.857,0.44,0.166,0.225,10
M,0.591,0.485,0.207,1.27,0.392,0.259,0.397,14
F,0.562,0.44,0.147,0.862,0.393,0.151,0.242,10
F,0.343,0.27,0.094,0.181,0.087,0.039,0.055,5
I,0.376,0.265,0.116,0.212,0.091,0.045,0.069,9
I,0.556,0.43,0.135,0.653,0.267,0.168,0.216,8
M,0.372,0.282,0.101,0.272,0.118,0.057,0.085,9
M,0.478,0.386,0.141,0.519,0.195,0.134,0.155,14
F,0.505,0.408,0.132,0.524,0.209,0.134,0.166,9
F,0.59,0.502,0.19,1.156,0.533,0.301,0.256,8
I,0.417,0.292,0.091,0.261,0.102,0.066,0.106,6
F,0.492,0.413,0.15,0.64,0.212,0.135,0.243,14
I,0.459,0.345,0.12,0.403,0.175,0.083,0.131,7
M,0.68,0.565,0.228,2.093,0.955,0.441,0.565,11
I,0.34,0.234,0.094,0.158,0.058,0.039,0.063,6
M,0.578,0.456,0.156,1.009,0.48,0.159,0.263,13
M,0.575,0.451,0.14,0.979,0.41,0.199,0.292,8
F,0.461,0.409,0.121,0.566,0.181,0.107,0.209,13
I,0.428,0.334,0.097,0.339,0.159,0.084,0.099,7
F,0.564,0.438,0.145,0.842,0.347,0.168,0.295,9
M,0.582,0.485,0.146,0.904,0.442,0.188,0.272,8
M,0.532,0.389,0.136,0.703,0.319,0.205,0.179,8
M,0.724,0.544,0.223,2.059,0.777,0.316,0.765,15
F,0.526,0.42,0.111,0.604,0.263,0.146,0.171,11
M,0.667,0.519,0.2,1.705,0.711,0.348,0.443,13
I,0.529,0.375,0.153,0.708,0.353,0.127,0.158,8
M,0.46,0.358,0.117,0.623,0.332,0.15,0.136,8
I,0.244,0.181,0.071,0.068,0.026,0.019,0.025,6
I,0.367,0.311,0.098,0.291,0.124,0.053,0.087,7
M,0.374,0.29,0.103,0.23,0.084,0.051,0.093,8
I,0.573,0.445,0.145,0.822,0.296,0.183,0.248,10
I,0.658,0.521,0.152,1.227,0.513,0.293,0.32,15
I,0.313,0.259,0.055,0.164,0.075,0.051,0.046,5
I,0.6,0.429,0.125,0.893,0.425,0.182,0.256,11
M,0.613,0.527,0.186,1.162,0.543,0.232,0.362,10
F,0.596,0.452,0.124,1.091,0.468,0.284,0.265,10
M,0.598,0.451,0.199,1.108,0.508,0.244,0.291,10
I,0.326,0.24,0.077,0.152,0.056,0.035,0.061,9
I,0.555,0.428,0.145,0.827,0.309,0.224,0.241,10
I,0.48,0.384,0.145,0.604,0.241,0.125,0.267,16
F,0.623,0.453,0.153,1.092,0.49,0.213,0.338,10
M,0.67,0.515,0.157,1.572,0.7,0.374,0.389,10
M,0.395,0.271,0.113,0.268,0.099,0.08,0.087,8
I,0.497,0.425,0.137,0.636,0.266,0.164,0.199,9
M,0.689,0.521,0.166,1.493,0.706,0.307,0.359,10
I,0.531,0.383,0.126,0.577,0.227,0.108,0.194,9
I,0.49,0.366,0.15,0.527,0.183,0.099,0.209,13
F,0.639,0.525,0.155,1.07,0.441,0.222,0.334,11
M,0.706,0.569,0.212,1.704,0.811,0.417,0.443,9
I,0.382,0.294,0.093,0.215,0.092,0.042,0.062,5
F,0.657,0.519,0.186,1.327,0.589,0.371,0.368,10
M,0.508,0.392,0.147,0.666,0.277,0.133,0.23,11
I,0.391,0.288,0.094,0.269,0.131,0.05,0.076,6
M,0.626,0.534,0.166,1.006,0.404,0.24,0.363,18
M,0.708,0.564,0.182,1.373,0.678,0.297,0.361,12
F,0.676,0.508,0.188,1.37,0.506,0.233,0.478,12
M,0.713,0.555,0.213,1.738,0.775,0.375,0.494,13
F,0.563,0.412,0.116,0.685,0.284,0.154,0.225,9
F,0.608,0.47,0.156,1.155,0.464,0.285,0.295,11
F,0.654,0.527,0.204,1.536,0.657,0.337,0.407,9
M,0.585,0.499,0.115,0.91,0.409,0.177,0.289,15
F,0.507,0.43,0.153,0.707,0.319,0.143,0.205,10
F,0.634,0.496,0.17,1.178,0.471,0.283,0.336,12
I,0.461,0.338,0.105,0.376,0.151,0.058,0.123,7
I,0.448,0.351,0.103,0.424,0.215,0.101,0.124,7
F,0.656,0.497,0.193,1.496,0.69,0.329,0.37,11
M,0.509,0.401,0.136,0.744,0.347,0.143,0.22,8
F,0.53,0.38,0.136,0.586,0.226,0.134,0.19,13
M,0.283,0.189,0.073,0.102,0.044,0.018,0.037,7
M,0.614,0.456,0.138,1.172,0.459,0.195,0.393,14
M,0.706,0.592,0.209,2.063,0.974,0.443,0.509,11
F,0.544,0.452,0.165,1.079,0.398,0.186,0.415,20
F,0.561,0.482,0.168,1.056,0.417,0.214,0.363,14
I,0.575,0.466,0.135,0.905,0.47,0.154,0.223,10
F,0.613,0.498,0.179,1.046,0.469,0.239,0.315,10
I,0.514,0.376,0.122,0.553,0.242,0.132,0.177,9
F,0.592,0.447,0.142,0.94,0.448,0.185,0.257,9
F,0.525,0.424,0.129,0.665,0.255,0.15,0.19,9
F,0.558,0.435,0.138,0.76,0.293,0.159,0.291,11
F,0.468,0.361,0.119,0.497,0.238,0.109,0.109,6
M,0.598,0.454,0.18,0.949,0.359,0.215,0.295,10
M,0.545,0.435,0.107,0.772,0.343,0.194,0.218,9
I,0.349,0.273,0.076,0.216,0.092,0.042,0.068,6
M,0.462,0.335,0.131,0.358,0.117,0.106,0.121,10
I,0.423,0.359,0.12,0.548,0.266,0.109,0.131,6
F,0.663,0.546,0.192,1.257,0.471,0.245,0.416,10
M,0.622,0.514,0.162,1.409,0.666,0.292,0.385,11
I,0.358,0.265,0.081,0.191,0.094,0.036,0.052,7
M,0.582,0.436,0.17,0.891,0.304,0.193,0.34,14
F,0.548,0.401,0.156,0.923,0.451,0.192,0.231,8
M,0.67,0.502,0.194,1.693,0.634,0.314,0.462,10
M,0.633,0.5,0.185,1.434,0.724,0.353,0.349,11
M,0.654,0.57,0.162,1.242,0.499,0.311,0.496,15
F,0.546,0.418,0.128,0.748,0.362,0.173,0.198,8
F,0.6,0.466,0.144,0.94,0.465,0.184,0.263,9
F,0.392,0.317,0.117,0.349,0.154,0.072,0.112,10
I,0.419,0.344,0.12,0.31,0.129,0.056,0.122,7
I,0.527,0.41,0.126,0.646,0.342,0.149,0.18,8
M,0.603,0.466,0.147,0.837,0.403,0.186,0.209,9
F,0.655,0.486,0.153,1.078,0.419,0.298,0.314,8
M,0.622,0.503,0.171,1.068,0.414,0.24,0.357,12
M,0.577,0.473,0.16,1.125,0.479,0.243,0.353,12
F,0.638,0.455,0.157,1.175,0.541,0.256,0.308,11
M,0.591,0.478,0.178,1.176,0.531,0.285,0.341,10
F,0.494,0.402,0.152,0.811,0.324,0.167,0.286,10
F,0.64,0.531,0.174,1.355,0.548,0.251,0.395,15
I,0.512,0.411,0.116,0.612,0.276,0.144,0.189,9
I,0.396,0.313,0.09,0.281,0.137,0.05,0.074,8
I,0.632,0.49,0.16,1.218,0.642,0.201,0.317,12
I,0.411,0.317,0.119,0.348,0.164,0.066,0.104,8
M,0.495,0.38,0.119,0.682,0.267,0.16,0.189,14
F,0.683,0.532,0.175,1.529,0.689,0.322,0.397,12
M,0.678,0.515,0.196,1.553,0.601,0.394,0.396,14
I,0.432,0.36,0.123,0.461,0.224,0.091,0.116,6
F,0.661,0.556,0.198,1.387,0.598,0.27,0.514,10
F,0.556,0.414,0.178,0.88,0.277,0.164,0.285,14
I,0.476,0.374,0.11,0.508,0.226,0.086,0.139,7
F,0.664,0.475,0.159,1.207,0.535,0.271,0.313,9
F,0.453,0.327,0.101,0.448,0.185,0.103,0.129,9
I,0.501,0.372,0.148,0.664,0.266,0.153,0.175,12
I,0.541,0.393,0.119,0.595,0.234,0.149,0.16,9
I,0.399,0.292,0.095,0.251,0.116,0.057,0.066,6
F,0.556,0.449,0.142,1.163,0.567,0.216,0.281,8
I,0.262,0.191,0.071,0.071,0.025,0.019,0.026,6
I,0.463,0.403,0.131,0.596,0.259,0.186,0.152,7
M,0.413,0.314,0.105,0.294,0.117,0.037,0.118,10
I,0.425,0.333,0.101,0.367,0.185,0.071,0.099,7
I,0.5,0.372,0.121,0.611,0.278,0.119,0.167,8
I,0.377,0.263,0.091,0.226,0.096,0.039,0.074,6
M,0.722,0.529,0.228,2.323,1.257,0.358,0.608,12
I,0.409,0.318,0.12,0.296,0.119,0.076,0.089,7
F,0.406,0.323,0.1,0.362,0.162,0.082,0.125,12
F,0.627,0.489,0.182,1.581,0.673,0.311,0.438,11
M,0.704,0.532,0.22,1.873,0.859,0.419,0.492,10
I,0.299,0.227,0.08,0.127,0.049,0.026,0.044,4
I,0.435,0.345,0.109,0.373,0.159,0.081,0.106,5
M,0.626,0.521,0.193,1.494,0.661,0.34,0.381,10
I,0.471,0.343,0.141,0.548,0.223,0.15,0.154,11
M,0.589,0.434,0.127,0.913,0.421,0.188,0.245,13
F,0.356,0.253,0.087,0.208,0.076,0.06,0.06,8
F,0.662,0.485,0.166,1.242,0.537,0.336,0.369,9
I,0.406,0.305,0.082,0.327,0.15,0.05,0.097,7
I,0.553,0.396,0.13,0.568,0.228,0.125,0.166,9
I,0.301,0.225,0.066,0.114,0.052,0.016,0.035,5
F,0.773,0.553,0.21,2.214,1.088,0.531,0.531,11
I,0.547,0.449,0.163,0.832,0.305,0.207,0.273,15
I,0.582,0.465,0.142,0.907,0.327,0.207,0.328,13
I,0.507,0.364,0.106,0.514,0.284,0.1,0.146,8
F,0.639,0.48,0.171,1.261,0.516,0.246,0.463,18
F,0.566,0.447,0.141,0.822,0.373,0.156,0.268,9
F,0.588,0.485,0.152,1.079,0.385,0.22,0.378,10
I,0.28,0.21,0.065,0.105,0.04,0.021,0.033,5
M,0.323,0.238,0.09,0.148,0.06,0.035,0.044,4
F,0.658,0.557,0.183,1.707,0.812,0.384,0.428,11
M,0.349,0.264,0.099,0.204,0.065,0.049,0.067,9
I,0.342,0.255,0.083,0.195,0.09,0.041,0.056,7
F,0.603,0.496,0.174,1.165,0.461,0.26,0.333,11
F,0.681,0.521,0.193,1.401,0.628,0.341,0.379,9
F,0.601,0.487,0.157,1.187,0.508,0.235,0.332,17
I,0.487,0.379,0.125,0.537,0.222,0.133,0.159,11
M,0.364,0.267,0.078,0.205,0.088,0.05,0.068,6
M,0.586,0.456,0.171,1.103,0.581,0.258,0.269,10
F,0.564,0.47,0.171,1.047,0.388,0.232,0.344,19
F,0.635,0.52,0.179,1.327,0.643,0.292,0.324,10
I,0.353,0.313,0.084,0.272,0.118,0.066,0.071,7
F,0.676,0.517,0.167,1.505,0.713,0.358,0.385,10
F,0.642,0.525,0.155,1.261,0.585,0.32,0.306,9
I,0.37,0.266,0.094,0.224,0.11,0.047,0.073,7
F,0.694,0.524,0.196,1.421,0.58,0.283,0.388,12
I,0.507,0.364,0.128,0.621,0.281,0.126,0.157,7
I,0.522,0.391,0.148,0.553,0.243,0.136,0.185,9
F,0.525,0.402,0.165,0.717,0.259,0.141,0.225,19
M,0.483,0.429,0.153,0.707,0.247,0.158,0.255,13
I,0.378,0.24,0.11,0.483,0.217,0.103,0.134,7
F,0.52,0.392,0.129,0.558,0.237,0.154,0.145,7
I,0.551,0.385,0.131,0.643,0.262,0.154,0.201,9
M,0.581,0.464,0.132,0.896,0.347,0.201,0.241,9
F,0.654,0.538,0.178,1.384,0.593,0.317,0.414,10
F,0.627,0.454,0.162,1.22,0.349,0.208,0.397,14
M,0.666,0.564,0.194,1.77,0.844,0.396,0.494,11
M,0.598,0.48,0.177,1.109,0.499,0.276,0.313,10
I,0.488,0.353,0.106,0.532,0.188,0.124,0.185,8
I,0.317,0.244,0.083,0.134,0.059,0.027,0.037,6
M,0.448,0.363,0.108,0.399,0.217,0.079,0.129,13
F,0.538,0.458,0.154,0.988,0.461,0.207,0.282,9
F,0.659,0.523,0.179,1.189,0.515,0.247,0.409,15
M,0.64,0.454,0.168,1.237,0.471,0.29,0.241,11
F,0.647,0.503,0.178,1.82,0.57,0.287,0.757,22
I,0.35,0.269,0.09,0.184,0.074,0.023,0.067,11
F,0.703,0.492,0.174,1.495,0.665,0.347,0.357,11
M,0.551,0.433,0.138,0.755,0.333,0.189,0.247,10
F,0.648,0.561,0.198,1.791,0.829,0.358,0.509,12
I,0.334,0.264,0.092,0.218,0.098,0.044,0.068,8
M,0.586,0.456,0.156,1.192,0.505,0.325,0.278,8
F,0.603,0.489,0.157,1.258,0.404,0.277,0.378,9
I,0.344,0.241,0.105,0.418,0.18,0.063,0.129,7
F,0.637,0.527,0.176,1.298,0.586,0.263,0.38,11
M,0.671,0.5,0.15,1.222,0.632,0.296,0.316,10
M,0.565,0.421,0.134,1.0,0.425,0.215,0.262,10
F,0.396,0.336,0.135,0.375,0.151,0.091,0.118,10
F,0.578,0.478,0.132,1.007,0.466,0.196,0.264,11
F,0.618,0.515,0.183,1.317,0.678,0.261,0.353,10
F,0.578,0.476,0.161,0.933,0.452,0.249,0.265,9
F,0.695,0.505,0.157,1.221,0.459,0.315,0.367,11
F,0.356,0.3,0.099,0.279,0.114,0.054,0.084,7
I,0.467,0.362,0.113,0.531,0.24,0.123,0.124,8
M,0.528,0.431,0.177,0.734,0.25,0.172,0.264,8
F,0.499,0.429,0.164,0.625,0.267,0.106,0.221,11
I,0.388,0.302,0.094,0.34,0.152,0.068,0.077,6
M,0.515,0.419,0.122,0.902,0.491,0.189,0.211,9
M,0.433,0.317,0.116,0.289,0.098,0.059,0.108,15
M,0.579,0.428,0.155,0.768,0.32,0.145,0.255,12
I,0.458,0.35,0.113,0.465,0.203,0.089,0.135,8
M,0.554,0.394,0.146,0.806,0.354,0.192,0.232,11
F,0.558,0.448,0.165,1.485,0.649,0.327,0.413,10
F,0.736,0.551,0.174,1.633,0.714,0.377,0.459,11
M,0.533,0.403,0.106,0.587,0.262,0.164,0.147,8
M,0.485,0.392,0.119,0.525,0.253,0.12,0.128,6
M,0.584,0.506,0.159,1.131,0.452,0.254,0.302,9
I,0.319,0.246,0.071,0.127,0.057,0.024,0.039,6
I,0.273,0.198,0.083,0.098,0.038,0.018,0.03,6
M,0.509,0.415,0.154,0.926,0.34,0.179,0.26,13
F,0.591,0.488,0.159,0.935,0.419,0.227,0.299,10
F,0.608,0.471,0.153,0.892,0.387,0.21,0.294,9
M,0.43,0.319,0.101,0.496,0.26,0.085,0.126,8
M,0.514,0.386,0.12,0.628,0.299,0.153,0.165,7
M,0.687,0.592,0.209,2.253,1.06,0.51,0.553,11
I,0.351,0.261,0.072,0.166,0.088,0.036,0.041,6
M,0.559,0.468,0.159,0.974,0.468,0.21,0.288,11
I,0.282,0.125,0.072,0.112,0.048,0.03,0.034,4
I,0.489,0.367,0.12,0.462,0.213,0.104,0.148,6
F,0.615,0.518,0.151,1.275,0.64,0.272,0.344,8
I,0.135,0.1,0.03,0.013,0.004,0.003,0.004,3
I,0.61,0.509,0.166,1.204,0.547,0.209,0.313,11
F,0.671,0.49,0.233,1.652,0.594,0.416,0.402,15
M,0.551,0.454,0.146,1.009,0.531,0.213,0.253,9
I,0.576,0.422,0.138,0.631,0.246,0.177,0.204,10
F,0.719,0.62,0.196,2.337,0.856,0.439,0.695,12
F,0.747,0.569,0.208,2.148,0.618,0.394,1.047,17
F,0.339,0.245,0.1,0.207,0.068,0.05,0.062,9
F,0.614,0.513,0.178,1.169,0.558,0.228,0.332,10
F,0.571,0.446,0.148,1.012,0.513,0.211,0.293,12
M,0.469,0.363,0.133,0.633,0.294,0.146,0.184,12
F,0.53,0.399,0.17,0.716,0.257,0.152,0.212,12
F,0.712,0.544,0.199,1.663,0.73,0.375,0.417,10
I,0.456,0.375,0.124,0.435,0.202,0.128,0.145,9
M,0.373,0.292,0.098,0.213,0.084,0.05,0.074,7
I,0.445,0.325,0.086,0.335,0.148,0.068,0.102,7
M,0.386,0.318,0.092,0.334,0.136,0.055,0.096,5
M,0.584,0.5,0.135,1.054,0.416,0.263,0.27,8
I,0.447,0.328,0.11,0.368,0.192,0.077,0.086,6
M,0.615,0.489,0.17,1.275,0.62,0.258,0.322,11
F,0.496,0.36,0.156,0.572,0.258,0.136,0.176,11
F,0.554,0.441,0.172,1.062,0.483,0.223,0.281,8
M,0.622,0.473,0.163,1.05,0.398,0.222,0.355,12
I,0.571,0.481,0.186,1.059,0.387,0.194,0.362,17
I,0.581,0.437,0.173,0.954,0.356,0.21,0.31,12
F,0.375,0.335,0.115,0.643,0.336,0.131,0.169,7
I,0.435,0.325,0.104,0.396,0.191,0.097,0.096,6
M,0.522,0.399,0.149,0.838,0.316,0.191,0.299,18
I,0.489,0.346,0.119,0.503,0.255,0.114,0.146,7
F,0.592,0.431,0.151,0.992,0.427,0.222,0.335,11
I,0.183,0.128,0.045,0.029,0.013,0.01,0.009,3
F,0.647,0.517,0.182,1.373,0.609,0.365,0.378,10
I,0.48,0.337,0.136,0.454,0.239,0.11,0.111,9
F,0.629,0.542,0.18,1.53,0.507,0.3,0.402,19
F,0.48,0.389,0.116,0.598,0.179,0.155,0.189,11
F,0.529,0.434,0.136,0.88,0.351,0.193,0.277,14
I,0.445,0.343,0.099,0.354,0.139,0.07,0.118,8
I,0.206,0.144,0.064,0.039,0.02,0.011,0.013,4
I,0.466,0.366,0.121,0.466,0.182,0.089,0.151,12
F,0.357,0.291,0.079,0.288,0.147,0.072,0.082,7
I,0.307,0.223,0.081,0.133,0.044,0.025,0.039,8
F,0.551,0.436,0.156,0.862,0.393,0.198,0.229,8
F,0.577,0.445,0.154,0.839,0.405,0.151,0.248,8
M,0.742,0.579,0.173,1.533,0.695,0.357,0.432,11
F,0.648,0.526,0.177,1.536,0.749,0.42,0.368,11
M,0.62,0.458,0.16,0.99,0.514,0.2,0.232,9
I,0.427,0.33,0.095,0.283,0.139,0.064,0.076,5
F,0.595,0.438,0.121,0.841,0.361,0.173,0.265,12
F,0.585,0.436,0.146,1.135,0.483,0.226,0.322,10
M,0.437,0.351,0.126,0.404,0.151,0.077,0.146,9
M,0.519,0.443,0.155,0.806,0.428,0.146,0.237,7
M,0.628,0.463,0.164,1.124,0.512,0.23,0.297,10
M,0.649,0.484,0.183,1.219,0.527,0.31,0.373,11
M,0.629,0.482,0.166,1.266,0.695,0.263,0.339,9
I,0.435,0.349,0.105,0.425,0.22,0.112,0.113,7
I,0.435,0.338,0.1,0.396,0.179,0.105,0.088,7
F,0.668,0.504,0.139,1.113,0.562,0.31,0.286,12
M,0.559,0.472,0.141,0.842,0.367,0.167,0.245,9
M,0.576,0.43,0.187,1.081,0.348,0.215,0.325,19
F,0.73,0.559,0.183,1.643,0.809,0.406,0.393,10
M,0.593,0.443,0.147,1.186,0.608,0.224,0.286,14
M,0.603,0.47,0.186,1.186,0.471,0.281,0.356,18
I,0.532,0.436,0.174,0.833,0.374,0.183,0.239,9
M,0.522,0.4,0.124,0.778,0.29,0.175,0.274,15
M,0.412,0.343,0.11,0.374,0.133,0.066,0.167,9
I,0.404,0.285,0.101,0.26,0.1,0.063,0.089,6
F,0.719,0.591,0.189,1.857,0.68,0.331,0.498,28
M,0.614,0.517,0.155,1.166,0.593,0.228,0.336,9
F,0.492,0.377,0.126,0.537,0.221,0.142,0.153,9
F,0.689,0.556,0.169,1.389,0.65,0.32,0.387,10
I,0.276,0.22,0.063,0.098,0.045,0.022,0.03,5
I,0.381,0.3,0.104,0.254,0.114,0.061,0.081,7
M,0.553,0.438,0.137,0.881,0.373,0.211,0.271,10
I,0.401,0.272,0.126,0.245,0.107,0.039,0.084,6
I,0.52,0.432,0.136,0.668,0.306,0.134,0.171,8
I,0.464,0.368,0.111,0.467,0.179,0.094,0.141,9
M,0.584,0.436,0.172,1.261,0.526,0.276,0.342,10
F,0.387,0.281,0.13,0.583,0.276,0.137,0.172,7
M,0.357,0.279,0.108,0.221,0.08,0.06,0.078,8
I,0.231,0.178,0.061,0.063,0.029,0.001,0.02,4
I,0.534,0.387,0.139,0.661,0.296,0.128,0.169,9
M,0.679,0.517,0.208,1.7,0.479,0.298,0.607,18
I,0.408,0.296,0.104,0.277,0.113,0.054,0.084,8
F,0.583,0.452,0.124,0.892,0.373,0.172,0.267,10
I,0.706,0.573,0.221,2.096,0.768,0.443,0.649,10
F,0.629,0.489,0.182,1.071,0.483,0.243,0.337,11
I,0.56,0.455,0.133,0.748,0.319,0.135,0.237,9
I,0.46,0.367,0.117,0.402,0.167,0.092,0.117,8
F,0.687,0.533,0.199,1.462,0.655,0.392,0.401,12
M,0.594,0.46,0.183,1.136,0.548,0.249,0.292,13
M,0.568,0.455,0.158,0.876,0.412,0.227,0.229,8
F,0.417,0.341,0.092,0.336,0.116,0.058,0.127,10
I,0.334,0.272,0.08,0.204,0.081,0.058,0.057,6
I,0.555,0.405,0.152,0.56,0.355,0.13,0.216,8
I,0.546,0.414,0.152,0.74,0.308,0.199,0.181,10
I,0.472,0.35,0.107,0.425,0.21,0.083,0.136,7
F,0.768,0.573,0.236,2.103,0.862,0.502,0.571,14
M,0.584,0.473,0.156,1.264,0.564,0.275,0.332,9
M,0.541,0.441,0.137,0.897,0.379,0.226,0.225,8
M,0.303,0.25,0.099,0.154,0.051,0.035,0.048,7
F,0.728,0.621,0.204,1.783,0.697,0.362,0.594,11
I,0.547,0.448,0.147,0.896,0.473,0.178,0.228,9
F,0.469,0.374,0.123,0.63,0.261,0.139,0.179,8
I,0.339,0.245,0.067,0.218,0.109,0.045,0.058,7
M,0.554,0.4,0.143,0.753,0.358,0.159,0.202,7
M,0.446,0.353,0.13,0.475,0.188,0.092,0.163,10
M,0.647,0.476,0.185,1.331,0.602,0.319,0.384,10
F,0.536,0.445,0.198,0.716,0.285,0.128,0.267,9
M,0.323,0.232,0.082,0.164,0.067,0.048,0.048,7
M,0.515,0.398,0.16,0.814,0.258,0.152,0.306,23
F,0.46,0.337,0.119,0.447,0.201,0.107,0.134,7
F,0.425,0.34,0.109,0.386,0.142,0.097,0.119,13
M,0.571,0.429,0.15,0.824,0.375,0.183,0.226,8
